log_id,timestamp,shipment_id,event,driver_id,driver_name,location,zone,notes
LOG000177,2026-08-30 20:18,SHP00097,Delivered,D001,Ravi Kumar,Mumbai,East,Traffic delay
LOG000178,2026-08-30 20:18,SHP00185,Returned to Hub,D004,Priya Sharma,Bangalore,South,Customer not available
LOG000179,2026-08-31 20:18,SHP00115,Returned to Hub,D001,Ravi Kumar,Mumbai,Central,
LOG000180,2026-08-29 20:18,SHP00173,In Transit,D005,Deepak Singh,Chennai,North,
LOG000181,2026-08-29 20:18,SHP00052,Delivery Failed,D004,Priya Sharma,Kolkata,East,Wrong address
LOG000182,2026-08-29 20:18,SHP00033,Delivered,D003,Anand Verma,Bangalore,North,Wrong address
LOG000183,2026-08-30 20:18,SHP00073,Picked Up,D005,Deepak Singh,Delhi,East,
LOG000184,2026-08-29 20:18,SHP00110,Delivered,D003,Anand Verma,Chennai,South,Wrong address
LOG000185,2026-08-29 20:18,SHP00198,Delivery Failed,D002,Suresh Patel,Bangalore,Central,
LOG000186,2026-08-29 20:18,SHP00177,Picked Up,D003,Anand Verma,Hyderabad,West,Customer not available
LOG000187,2026-08-31 20:18,SHP00178,Out for Delivery,D001,Ravi Kumar,Hyderabad,Central,
LOG000188,2026-08-29 20:18,SHP00062,In Transit,D002,Suresh Patel,Bangalore,Central,Traffic delay
LOG000189,2026-08-30 20:18,SHP00051,Returned to Hub,D001,Ravi Kumar,Pune,South,Wrong address
LOG000190,2026-08-29 20:18,SHP00057,Out for Delivery,D005,Deepak Singh,Hyderabad,South,Wrong address
LOG000191,2026-08-30 20:18,SHP00153,Delivered,D001,Ravi Kumar,Mumbai,Central,Customer not available
LOG000192,2026-08-31 20:18,SHP00083,Delivery Failed,D006,Kavita Reddy,Bangalore,West,
LOG000193,2026-08-29 20:18,SHP00082,Delivery Failed,D002,Suresh Patel,Hyderabad,South,Traffic delay
LOG000194,2026-08-30 20:18,SHP00116,Returned to Hub,D004,Priya Sharma,Kolkata,West,Traffic delay
LOG000195,2026-08-31 20:18,SHP00112,Delivery Failed,D004,Priya Sharma,Chennai,West,Traffic delay
LOG000196,2026-08-29 20:18,SHP00162,Delivered,D004,Priya Sharma,Delhi,West,Customer not available
LOG000197,2026-08-31 20:18,SHP00099,Delivery Failed,D006,Kavita Reddy,Chennai,North,
LOG000198,2026-08-30 20:18,SHP00119,Returned to Hub,D002,Suresh Patel,Bangalore,South,Customer not available
LOG000199,2026-08-31 20:18,SHP00174,Picked Up,D001,Ravi Kumar,Kolkata,South,Customer not available
LOG000200,2026-08-29 20:18,SHP00054,Returned to Hub,D001,Ravi Kumar,Hyderabad,Central,Customer not available
LOG000201,2026-08-30 20:18,SHP00078,Returned to Hub,D003,Anand Verma,Mumbai,Central,Traffic delay
LOG000202,2026-08-29 20:18,SHP00185,Out for Delivery,D003,Anand Verma,Delhi,East,Traffic delay
LOG000203,2026-08-30 20:18,SHP00085,Picked Up,D005,Deepak Singh,Pune,Central,Customer not available
LOG000204,2026-08-31 20:18,SHP00112,Delivery Failed,D002,Suresh Patel,Mumbai,East,Traffic delay
LOG000205,2026-08-30 20:18,SHP00175,Delivery Failed,D005,Deepak Singh,Chennai,Central,Customer not available
LOG000206,2026-08-29 20:18,SHP00117,Delivered,D006,Kavita Reddy,Delhi,East,Customer not available
LOG000207,2026-08-29 20:18,SHP00133,In Transit,D003,Anand Verma,Hyderabad,East,
LOG000208,2026-08-29 20:18,SHP00131,Delivered,D005,Deepak Singh,Mumbai,East,Customer not available
LOG000209,2026-08-31 20:18,SHP00020,Out for Delivery,D001,Ravi Kumar,Kolkata,North,Customer not available
LOG000210,2026-08-30 20:18,SHP00129,Returned to Hub,D004,Priya Sharma,Hyderabad,Central,Wrong address
LOG000211,2026-08-30 20:18,SHP00014,Picked Up,D002,Suresh Patel,Mumbai,Central,Customer not available
LOG000212,2026-08-29 20:18,SHP00039,Delivery Failed,D005,Deepak Singh,Delhi,West,Customer not available
LOG000213,2026-08-29 20:18,SHP00108,Delivery Failed,D003,Anand Verma,Chennai,West,Wrong address
LOG000214,2026-08-30 20:18,SHP00106,In Transit,D004,Priya Sharma,Chennai,North,
LOG000215,2026-08-31 20:18,SHP00040,Delivery Failed,D001,Ravi Kumar,Kolkata,Central,
LOG000216,2026-08-29 20:18,SHP00147,Returned to Hub,D002,Suresh Patel,Bangalore,East,Customer not available
LOG000217,2026-08-29 20:18,SHP00136,Picked Up,D003,Anand Verma,Mumbai,Central,Traffic delay
LOG000218,2026-08-30 20:18,SHP00159,Delivered,D006,Kavita Reddy,Delhi,South,Customer not available
LOG000219,2026-08-31 20:18,SHP00118,Picked Up,D004,Priya Sharma,Bangalore,North,Wrong address
LOG000220,2026-08-29 20:18,SHP00145,Picked Up,D001,Ravi Kumar,Mumbai,North,
LOG000221,2026-08-31 20:18,SHP00184,Delivered,D001,Ravi Kumar,Mumbai,North,
LOG000222,2026-08-31 20:18,SHP00151,Picked Up,D004,Priya Sharma,Bangalore,West,Traffic delay
LOG000223,2026-08-31 20:18,SHP00083,In Transit,D002,Suresh Patel,Chennai,North,Traffic delay
LOG000224,2026-08-29 20:18,SHP00153,Delivery Failed,D003,Anand Verma,Chennai,South,Customer not available
LOG000225,2026-08-31 20:18,SHP00066,In Transit,D003,Anand Verma,Delhi,North,Customer not available
LOG000226,2026-08-30 20:18,SHP00122,Returned to Hub,D002,Suresh Patel,Kolkata,East,
LOG000227,2026-08-29 20:18,SHP00188,In Transit,D002,Suresh Patel,Chennai,West,Customer not available
LOG000228,2026-08-30 20:18,SHP00154,Delivery Failed,D006,Kavita Reddy,Delhi,North,Traffic delay
LOG000229,2026-08-29 20:18,SHP00088,Picked Up,D001,Ravi Kumar,Chennai,East,
LOG000230,2026-08-30 20:18,SHP00153,Out for Delivery,D004,Priya Sharma,Chennai,West,
LOG000231,2026-08-31 20:18,SHP00039,Out for Delivery,D004,Priya Sharma,Kolkata,West,Wrong address
LOG000232,2026-08-29 20:18,SHP00054,In Transit,D005,Deepak Singh,Chennai,South,
LOG000233,2026-08-31 20:18,SHP00110,In Transit,D003,Anand Verma,Pune,West,
LOG000234,2026-08-31 20:18,SHP00136,Picked Up,D004,Priya Sharma,Bangalore,South,Wrong address
LOG000235,2026-08-29 20:18,SHP00136,Returned to Hub,D002,Suresh Patel,Kolkata,West,Traffic delay
LOG000236,2026-08-31 20:18,SHP00148,Out for Delivery,D002,Suresh Patel,Pune,Central,
LOG000237,2026-08-29 20:18,SHP00179,Delivery Failed,D004,Priya Sharma,Kolkata,South,Traffic delay
LOG000238,2026-08-29 20:18,SHP00061,Out for Delivery,D005,Deepak Singh,Hyderabad,North,
LOG000239,2026-08-29 20:18,SHP00023,Picked Up,D006,Kavita Reddy,Pune,South,Customer not available
LOG000240,2026-08-30 20:18,SHP00050,In Transit,D006,Kavita Reddy,Mumbai,Central,Wrong address
LOG000241,2026-08-29 20:18,SHP00010,Returned to Hub,D004,Priya Sharma,Hyderabad,East,
LOG000242,2026-08-30 20:18,SHP00177,Out for Delivery,D001,Ravi Kumar,Delhi,North,Wrong address
LOG000243,2026-08-31 20:18,SHP00056,Out for Delivery,D003,Anand Verma,Kolkata,North,
LOG000244,2026-08-29 20:18,SHP00176,Delivered,D001,Ravi Kumar,Bangalore,Central,Customer not available
LOG000245,2026-08-31 20:18,SHP00087,Delivery Failed,D004,Priya Sharma,Chennai,North,Wrong address
LOG000246,2026-08-30 20:18,SHP00037,Delivered,D002,Suresh Patel,Mumbai,North,Customer not available
LOG000247,2026-08-30 20:18,SHP00200,Delivery Failed,D005,Deepak Singh,Kolkata,North,Traffic delay
LOG000248,2026-08-30 20:18,SHP00155,Delivery Failed,D003,Anand Verma,Kolkata,North,
LOG000249,2026-08-31 20:18,SHP00177,In Transit,D006,Kavita Reddy,Chennai,North,Customer not available
LOG000250,2026-08-30 20:18,SHP00031,Delivered,D006,Kavita Reddy,Kolkata,West,Traffic delay
LOG000251,2026-08-29 20:18,SHP00155,Picked Up,D004,Priya Sharma,Chennai,East,Traffic delay
LOG000252,2026-08-31 20:18,SHP00116,Delivery Failed,D006,Kavita Reddy,Chennai,Central,
LOG000253,2026-08-31 20:18,SHP00062,Picked Up,D005,Deepak Singh,Pune,West,
LOG000254,2026-08-31 20:18,SHP00147,Delivery Failed,D002,Suresh Patel,Mumbai,South,Wrong address
LOG000255,2026-08-31 20:18,SHP00099,In Transit,D002,Suresh Patel,Bangalore,Central,
LOG000256,2026-08-29 20:18,SHP00125,Out for Delivery,D002,Suresh Patel,Mumbai,West,Traffic delay
LOG000257,2026-08-31 20:18,SHP00160,Delivery Failed,D004,Priya Sharma,Hyderabad,Central,
LOG000258,2026-08-30 20:18,SHP00098,In Transit,D004,Priya Sharma,Kolkata,South,Wrong address
LOG000259,2026-08-29 20:18,SHP00082,In Transit,D003,Anand Verma,Delhi,Central,
LOG000260,2026-08-30 20:18,SHP00052,In Transit,D002,Suresh Patel,Chennai,West,Traffic delay
LOG000261,2026-08-30 20:18,SHP00019,Delivery Failed,D002,Suresh Patel,Bangalore,South,
LOG000262,2026-08-31 20:18,SHP00181,In Transit,D004,Priya Sharma,Bangalore,Central,
LOG000263,2026-08-31 20:18,SHP00139,In Transit,D004,Priya Sharma,Hyderabad,Central,
LOG000264,2026-08-30 20:18,SHP00054,Picked Up,D003,Anand Verma,Hyderabad,Central,Customer not available
